match_id,role,raw_name,mapped_name,canonical_athlete_id,sex,weight_class,year
828,winner,Fabricio Werdum,Fabricio Werdum,athlete_fabricio-werdum-m,M,ABS,2003
828,loser,Marcio Cruz,Marcio Cruz,athlete_marcio-cruz-m,M,ABS,2003
1215,winner,Fabricio Werdum,Fabricio Werdum,athlete_fabricio-werdum-m,M,+99KG,2005
1215,loser,Marcio Corleta,Marcio Corleta,athlete_marcio-corleta-m,M,+99KG,2005
2293,winner,Fabricio Werdum,Fabricio Werdum,athlete_fabricio-werdum-m,M,+99KG,2009
2293,loser,Roberto Abreu,Roberto Abreu,athlete_roberto-abreu-m,M,+99KG,2009
3252,winner,Fabricio Werdum,Fabricio Werdum,athlete_fabricio-werdum-m,M,+99KG,2011
3252,loser,Alexander Trans,Alexander Trans,athlete_alexander-trans-m,M,+99KG,2011
3289,winner,Fabricio Werdum,Fabricio Werdum,athlete_fabricio-werdum-m,M,+99KG,2011
3289,loser,Roberto Abreu,Roberto Abreu,athlete_roberto-abreu-m,M,+99KG,2011
35079,winner,Ffion Davies,Ffion Davies,athlete_ffion-davies-f,F,60KG,2022
35079,loser,Brianna Ste-Marie,Brianna Ste-Marie,athlete_brianna-stemarie-f,F,60KG,2022
7912,winner,Felipe Pena,Felipe Pena,athlete_felipe-pena-m,M,99KG,2015
7912,loser,Roberto Alencar,Roberto Alencar,athlete_roberto-alencar-m,M,99KG,2015
7922,winner,Felipe Pena,Felipe Pena,athlete_felipe-pena-m,M,99KG,2015
7922,loser,Joao Assis,Joao Assis,athlete_joao-assis-m,M,99KG,2015
13868,winner,Felipe Pena,Felipe Pena,athlete_felipe-pena-m,M,99KG,2017
13868,loser,Abdurakhman Bilarov,Abdurakhman Bilarov,athlete_abdurakhman-bilarov-m,M,99KG,2017
13872,winner,Felipe Pena,Felipe Pena,athlete_felipe-pena-m,M,99KG,2017
13872,loser,Rafael Lovato Jr,Rafael Lovato Jr,athlete_rafael-lovato-jr-m,M,99KG,2017
13925,winner,Felipe Pena,Felipe Pena,athlete_felipe-pena-m,M,ABS,2017
13925,loser,Celso Vinicius,Celso Vinicius,athlete_celso-vinicius-m,M,ABS,2017
13937,winner,Felipe Pena,Felipe Pena,athlete_felipe-pena-m,M,ABS,2017
13937,loser,Marcus Almeida,Marcus Almeida,athlete_marcus-almeida-m,M,ABS,2017
35092,winner,Felipe Pena,Felipe Pena,athlete_felipe-pena-m,M,ABS,2022
35092,loser,Roberto Jimenez,Roberto Jimenez,athlete_roberto-jimenez-m,M,ABS,2022
2292,winner,Fabricio Werdum,Fabricio Werdum,athlete_fabricio-werdum-m,M,+99KG,2009
2292,loser,Saulo Ribeiro,Saulo Ribeiro,athlete_saulo-ribeiro-m,M,+99KG,2009
13939,winner,Felipe Pena,Felipe Pena,athlete_felipe-pena-m,M,ABS,2017
13939,loser,Gordon Ryan,Gordon Ryan,athlete_gordon-ryan-m,M,ABS,2017
13867,winner,Jackson Sousa,Jackson Sousa,athlete_jackson-sousa-m,M,99KG,2017
13867,loser,Paul Ardila-Ibarra,Paul Ardila-Ibarra,athlete_paul-ardilaibarra-m,M,99KG,2017
13871,winner,Jackson Sousa,Jackson Sousa,athlete_jackson-sousa-m,M,99KG,2017
13871,loser,Joao Assis,Joao Assis,athlete_joao-assis-m,M,99KG,2017
13874,winner,Jackson Sousa,Jackson Sousa,athlete_jackson-sousa-m,M,99KG,2017
13874,loser,Rafael Lovato Jr,Rafael Lovato Jr,athlete_rafael-lovato-jr-m,M,99KG,2017
21829,winner,James Puopolo,James Puopolo,athlete_james-puopolo-m,M,99KG,2019
21829,loser,Aaron Johnson,Aaron Johnson,athlete_aaron-johnson-m,M,99KG,2019
1183,winner,Jake Shields,Jake Shields,athlete_jake-shields-m,M,77KG,2005
1183,loser,Leonardo Santos,Leonardo Santos,athlete_leonardo-santos-m,M,77KG,2005
425,winner,Jean Jacques Machado,Jean Jacques Machado,athlete_jean-jacques-machado-m,M,77KG,2000
425,loser,Leonardo Vieira,Leonardo Vieira,athlete_leonardo-vieira-m,M,77KG,2000
564,winner,Jean Jacques Machado,Jean Jacques Machado,athlete_jean-jacques-machado-m,M,ABS,2001
564,loser,Marcio Cruz,Marcio Cruz,athlete_marcio-cruz-m,M,ABS,2001
4986,winner,Joao Miyao,Joao Miyao,athlete_joao-miyao-m,M,66KG,2013
4986,loser,Ricardo Vieira,Ricardo Vieira,athlete_ricardo-vieira-m,M,66KG,2013
5049,winner,Joao Gabriel Rocha,Joao Gabriel Rocha,athlete_joao-gabriel-rocha-m,M,+99KG,2013
5049,loser,Jared Dopp,Jared Dopp,athlete_jared-dopp-m,M,+99KG,2013
7903,winner,Joao Gabriel Rocha,Joao Gabriel Rocha,athlete_joao-gabriel-rocha-m,M,+99KG,2015
7903,loser,Abraham Marte Messina,Abraham Marte Messina,athlete_abraham-marte-messina-m,M,+99KG,2015
7996,winner,Joao Gabriel Rocha,Joao Gabriel Rocha,athlete_joao-gabriel-rocha-m,M,ABS,2015
7996,loser,Vagner Rocha,Vagner Rocha,athlete_vagner-rocha-m,M,ABS,2015
3287,winner,Joao Assis,Joao Assis,athlete_joao-assis-m,M,99KG,2011
3287,loser,Alexandre Ribeiro,Alexandre Ribeiro,athlete_alexandre-ribeiro-m,M,99KG,2011
7992,winner,Joao Gabriel Rocha,Joao Gabriel Rocha,athlete_joao-gabriel-rocha-m,M,ABS,2015
7992,loser,AJ Agazarm,AJ Agazarm,athlete_aj-agazarm-m,M,ABS,2015
21846,winner,Jon Blank,Jon Blank,athlete_jon-blank-m,M,88KG,2019
21846,loser,Murilo Santana,Murilo Santana,athlete_murilo-santana-m,M,88KG,2019
3320,winner,Jose Mario Sperry,Jose Mario Sperry,athlete_jose-mario-sperry-m,M,ABS,2011
3320,loser,Renzo Gracie,Renzo Gracie,athlete_renzo-gracie-m,M,ABS,2011
21840,winner,Josh Hinger,Josh Hinger,athlete_josh-hinger-m,M,88KG,2019
21840,loser,Gabriel Almeida,Gabriel Almeida,athlete_gabriel-almeida-m,M,88KG,2019
21847,winner,Josh Hinger,Josh Hinger,athlete_josh-hinger-m,M,88KG,2019
21847,loser,Adam Wardzinski,Adam Wardzinski,athlete_adam-wardzinski-m,M,88KG,2019
21890,winner,Josh Hinger,Josh Hinger,athlete_josh-hinger-m,M,88KG,2019
21890,loser,Jon Blank,Jon Blank,athlete_jon-blank-m,M,88KG,2019
35033,winner,Josh Hinger,Josh Hinger,athlete_josh-hinger-m,M,88KG,2022
35033,loser,Tye Ruotolo,Tye Ruotolo,athlete_tye-ruotolo-m,M,88KG,2022
35000,winner,Joshua Cisneros,Joshua Cisneros,athlete_joshua-cisneros-m,M,66KG,2022
35000,loser,Ethan Crelinsten,Ethan Crelinsten,athlete_ethan-crelinsten-m,M,66KG,2022
35003,winner,Joshua Cisneros,Joshua Cisneros,athlete_joshua-cisneros-m,M,66KG,2022
35003,loser,Sam McNally,Sam McNally,athlete_sam-mcnally-m,M,66KG,2022
3235,winner,Jonathan Torres,Jonathan Torres,athlete_jonathan-torres-m,M,77KG,2011
3235,loser,Clark Gracie,Clark Gracie,athlete_clark-gracie-m,M,77KG,2011
5000,winner,Jonathan Torres,Jonathan Torres,athlete_jonathan-torres-m,M,77KG,2013
5000,loser,Lucas Lepri,Lucas Lepri,athlete_lucas-lepri-m,M,77KG,2013
13896,winner,Jonathan Torres,Jonathan Torres,athlete_jonathan-torres-m,M,77KG,2017
13896,loser,Lachlan Giles,Lachlan Giles,athlete_lachlan-giles-m,M,77KG,2017
13902,winner,Jonathan Torres,Jonathan Torres,athlete_jonathan-torres-m,M,77KG,2017
13902,loser,Celso Vinicius,Celso Vinicius,athlete_celso-vinicius-m,M,77KG,2017
13905,winner,Jonathan Torres,Jonathan Torres,athlete_jonathan-torres-m,M,77KG,2017
13905,loser,Gary Tonon,Gary Tonon,athlete_gary-tonon-m,M,77KG,2017
21850,winner,Jonathan Torres,Jonathan Torres,athlete_jonathan-torres-m,M,77KG,2019
21850,loser,Ross Nicholls,Ross Nicholls,athlete_ross-nicholls-m,M,77KG,2019
21892,winner,Jonathan Torres,Jonathan Torres,athlete_jonathan-torres-m,M,77KG,2019
21892,loser,Gary Tonon,Gary Tonon,athlete_gary-tonon-m,M,77KG,2019
21895,winner,Jonathan Torres,Jonathan Torres,athlete_jonathan-torres-m,M,77KG,2019
21895,loser,Vagner Rocha,Vagner Rocha,athlete_vagner-rocha-m,M,77KG,2019
35016,winner,Kade Ruotolo,Kade Ruotolo,athlete_kade-ruotolo-m,M,77KG,2022
35016,loser,Lachlan Giles,Lachlan Giles,athlete_lachlan-giles-m,M,77KG,2022
35019,winner,Kade Ruotolo,Kade Ruotolo,athlete_kade-ruotolo-m,M,77KG,2022
35019,loser,Roberto Jimenez,Roberto Jimenez,athlete_roberto-jimenez-m,M,77KG,2022
35023,winner,Kade Ruotolo,Kade Ruotolo,athlete_kade-ruotolo-m,M,77KG,2022
35023,loser,Paul Schreiner,Paul Schreiner,athlete_paul-schreiner-m,M,77KG,2022
21818,winner,Kaynan Duarte,Kaynan Duarte,athlete_kaynan-duarte-m,M,+99KG,2019
21818,loser,Eldar Rafigaev,Eldar Rafigaev,athlete_eldar-rafigaev-m,M,+99KG,2019
21823,winner,Kaynan Duarte,Kaynan Duarte,athlete_kaynan-duarte-m,M,+99KG,2019
21823,loser,Yuri Simoes,Yuri Simoes,athlete_yuri-simoes-m,M,+99KG,2019
21882,winner,Kaynan Duarte,Kaynan Duarte,athlete_kaynan-duarte-m,M,+99KG,2019
21882,loser,Marcus Almeida,Marcus Almeida,athlete_marcus-almeida-m,M,+99KG,2019
21884,winner,Kaynan Duarte,Kaynan Duarte,athlete_kaynan-duarte-m,M,+99KG,2019
21884,loser,Nick Rodriguez,Nick Rodriguez,athlete_nick-rodriguez-m,M,+99KG,2019
35050,winner,Kaynan Duarte,Kaynan Duarte,athlete_kaynan-duarte-m,M,99KG,2022
35050,loser,Elder Cruz,Elder Cruz,athlete_elder-cruz-m,M,99KG,2022
35054,winner,Kaynan Duarte,Kaynan Duarte,athlete_kaynan-duarte-m,M,99KG,2022
35054,loser,Rafael Lovato Jr,Rafael Lovato Jr,athlete_rafael-lovato-jr-m,M,99KG,2022
35001,winner,Kennedy Maciel,Kennedy Maciel,athlete_kennedy-maciel-m,M,66KG,2022
35001,loser,Geovanny Martinez,Geovanny Martinez,athlete_geovanny-martinez-m,M,66KG,2022
35046,winner,Kyle Boehm,Kyle Boehm,athlete_kyle-boehm-m,M,99KG,2022
35046,loser,Devhonte Johnson,Devhonte Johnson,athlete_devhonte-johnson-m,M,99KG,2022
21905,winner,Lachlan Giles,Lachlan Giles,athlete_lachlan-giles-m,M,ABS,2019
21905,loser,Kaynan Duarte,Kaynan Duarte,athlete_kaynan-duarte-m,M,ABS,2019
21914,winner,Lachlan Giles,Lachlan Giles,athlete_lachlan-giles-m,M,ABS,2019
21914,loser,Mahamed Aly,Mahamed Aly,athlete_mahamed-aly-m,M,ABS,2019
513,winner,Leonardo Santos,Leonardo Santos,athlete_leonardo-santos-m,M,77KG,2001
513,loser,Leonardo Vieira,Leonardo Vieira,athlete_leonardo-vieira-m,M,77KG,2001
519,winner,Leonardo Santos,Leonardo Santos,athlete_leonardo-santos-m,M,77KG,2001
519,loser,Rodrigo Gracie,Rodrigo Gracie,athlete_rodrigo-gracie-m,M,77KG,2001
420,winner,Leonardo Vieira,Leonardo Vieira,athlete_leonardo-vieira-m,M,77KG,2000
420,loser,Vitor Ribeiro,Vitor Ribeiro,athlete_vitor-ribeiro-m,M,77KG,2000
766,winner,Leonardo Vieira,Leonardo Vieira,athlete_leonardo-vieira-m,M,66KG,2003
766,loser,Rany Yahya,Rany Yahya,athlete_rany-yahya-m,M,66KG,2003
772,winner,Leonardo Vieira,Leonardo Vieira,athlete_leonardo-vieira-m,M,66KG,2003
772,loser,Baret Yoshida,Baret Yoshida,athlete_baret-yoshida-m,M,66KG,2003
1168,winner,Leonardo Vieira,Leonardo Vieira,athlete_leonardo-vieira-m,M,66KG,2005
1168,loser,Rany Yahya,Rany Yahya,athlete_rany-yahya-m,M,66KG,2005
1678,winner,Leonardo Vieira,Leonardo Vieira,athlete_leonardo-vieira-m,M,66KG,2007
1678,loser,Jeff Glover,Jeff Glover,athlete_jeff-glover-m,M,66KG,2007
3283,winner,Leonardo Vieira,Leonardo Vieira,athlete_leonardo-vieira-m,M,77KG,2011
3283,loser,Claudio Calasans,Claudio Calasans,athlete_claudio-calasans-m,M,77KG,2011
2239,winner,Leonardo Vieira,Leonardo Vieira,athlete_leonardo-vieira-m,M,66KG,2009
2239,loser,Ryan Hall,Ryan Hall,athlete_ryan-hall-m,M,66KG,2009
3267,winner,Leonardo Vieira,Leonardo Vieira,athlete_leonardo-vieira-m,M,77KG,2011
3267,loser,Jonathan Torres,Jonathan Torres,athlete_jonathan-torres-m,M,77KG,2011
5001,winner,Leonardo Vieira,Leonardo Vieira,athlete_leonardo-vieira-m,M,77KG,2013
5001,loser,AJ Agazarm,AJ Agazarm,athlete_aj-agazarm-m,M,77KG,2013
