match_id,role,raw_name,canonical_athlete_id
4987,winner,Rafael Mendes,athlete_rafael-mendes-m
4987,loser,Joao Miyao,athlete_joao-miyao-m
21852,winner,Renato Forasieppi Canuto,athlete_renato-forasieppi-canuto-m
21852,loser,Oliver Taza,athlete_oliver-taza-m
2243,winner,Ryan Hall,athlete_ryan-hall-m
2243,loser,Jeff Glover,athlete_jeff-glover-m
21869,winner,Tye Ruotolo,athlete_tye-ruotolo-m
21869,loser,Pablo Mantovani,athlete_pablo-mantovani-m
35097,winner,Tye Ruotolo,athlete_tye-ruotolo-m
35097,loser,Felipe Pena,athlete_felipe-pena-m
21904,winner,Tim Spriggs,athlete_tim-spriggs-m
21904,loser,Jared Dopp,athlete_jared-dopp-m
21907,winner,Patrick Gaudio,athlete_patrick-gaudio-m
21907,loser,Michael Perez,athlete_michael-perez-m
7936,winner,Yuri Simoes,athlete_yuri-simoes-m
7936,loser,Romulo Barral,athlete_romulo-barral-m
7939,winner,Yuri Simoes,athlete_yuri-simoes-m
7939,loser,Keenan Cornelius,athlete_keenan-cornelius-m
7993,winner,Yuri Simoes,athlete_yuri-simoes-m
7993,loser,Dean Lister,athlete_dean-lister-m
13873,winner,Yuri Simoes,athlete_yuri-simoes-m
13873,loser,Jackson Sousa,athlete_jackson-sousa-m
13875,winner,Yuri Simoes,athlete_yuri-simoes-m
13875,loser,Felipe Pena,athlete_felipe-pena-m
35089,winner,Yuri Simoes,athlete_yuri-simoes-m
35089,loser,Lachlan Giles,athlete_lachlan-giles-m
35099,winner,Yuri Simoes,athlete_yuri-simoes-m
35099,loser,Nick Rodriguez,athlete_nick-rodriguez-m
35101,winner,Yuri Simoes,athlete_yuri-simoes-m
35101,loser,Roberto Abreu,athlete_roberto-abreu-m
35102,winner,Yuri Simoes,athlete_yuri-simoes-m
35102,loser,Nicholas Meregali,athlete_nicholas-meregali-m
7963,winner,Geovanny Martinez,athlete_geovanny-martinez-m
7963,loser,Alexandre Vieira,athlete_alexandre-vieira-m
5045,winner,Jared Dopp,athlete_jared-dopp-m
5045,loser,Vinicius Magalhaes,athlete_vinicius-magalhaes-m
5056,winner,Jared Dopp,athlete_jared-dopp-m
5056,loser,Leonardo Nogueira,athlete_leonardo-nogueira-m
7897,winner,Jared Dopp,athlete_jared-dopp-m
7897,loser,Gabriel Lucas,athlete_gabriel-lucas-m
7904,winner,Jared Dopp,athlete_jared-dopp-m
7904,loser,Rodrigo Cavaca,athlete_rodrigo-cavaca-m
13852,winner,Jared Dopp,athlete_jared-dopp-m
13852,loser,Vinicius Magalhaes,athlete_vinicius-magalhaes-m
13934,winner,Mahamed Aly,athlete_mahamed-aly-m
13934,loser,Dillon Danis,athlete_dillon-danis-m
21909,winner,Mahamed Aly,athlete_mahamed-aly-m
21909,loser,Tim Spriggs,athlete_tim-spriggs-m
